regime,gamma,T,n,mean_err,se_err,mean_traj_gap,se_traj_gap,mean_traj_gap_abs,se_traj_gap_abs,mean_traj_pop_risk,se_traj_pop_risk,mean_traj_pop_risk_excess,se_traj_pop_risk_excess,mean_traj_emp_risk,se_traj_emp_risk,mean_traj_emp_risk_excess,se_traj_emp_risk_excess
iid,,500,20,0.08704049941387638,0.007100211710766774,0.07804874124255097,0.013530457617136966,0.03579811618520532,0.006633372451044222,5.0694130971225855,0.003887467084953018,0.0694130971225849,0.003887467084953018,5.064702259500034,0.02184664008058579,0.06470225950003425,0.02184664008058579
exo,,500,20,0.3431332478623425,0.025326535487510654,0.07825613993977729,0.015271783769152954,0.07488830897385061,0.014060105566499888,5.14938488455621,0.010683019399011895,0.14938488455620944,0.010683019399011895,5.17210629902819,0.0277934258819341,0.1721062990281895,0.0277934258819341
feedback,0.25,500,20,0.5630050091829408,0.033875400666461566,0.08936135171451554,0.01437142047326101,0.13181969590175058,0.020991437643701982,5.341241849787651,0.028406298820485124,0.34124184978765026,0.028406298820485124,5.35122429802481,0.036258823397518604,0.35122429802481087,0.0362588233975186
feedback,0.5,500,20,0.7832219426370297,0.05168357516036786,0.07882225123586473,0.014923711909718487,0.2270351080979712,0.04448084754027159,5.634292346099604,0.047643318782459025,0.6342923460996049,0.047643318782459025,5.631478661496345,0.04457109063132937,0.6314786614963455,0.04457109063132938
feedback,1.0,500,20,1.0837464096939775,0.06981892262616556,0.10876093775970097,0.017493537803978988,0.4896600029316165,0.07317050602530951,6.391178373424734,0.08474908473869681,1.391178373424734,0.0847490847386968,6.399409621067738,0.086380204956903,1.3994096210677376,0.086380204956903
iid,,1000,20,0.06451840710139502,0.004318585558195342,0.05405421219534734,0.009406668658072135,0.04117355838796901,0.007766082891096557,5.03773967633253,0.002154472306233821,0.03773967633253088,0.002154472306233821,5.0489838134857035,0.015448741585900866,0.04898381348570471,0.015448741585900864
exo,,1000,20,0.25807527428788146,0.020273425556912392,0.06612943517963984,0.012635556882093443,0.05010219006201928,0.008268250156077248,5.073494468192729,0.003757795634820482,0.07349446819272795,0.003757795634820483,5.059038868558225,0.02022880259280938,0.05903886855822491,0.020228802592809382
feedback,0.25,1000,20,0.49271740609105785,0.03904522106339031,0.06743729362029578,0.008626281507001381,0.08266217276693721,0.02364466121419219,5.3264666398053455,0.025407829365698822,0.3264666398053452,0.02540782936569882,5.351923163921952,0.030659058312068454,0.3519231639219512,0.030659058312068454
feedback,0.5,1000,20,0.778984839981535,0.050972250875397945,0.05360631174436139,0.011616179835533426,0.27092076565947576,0.04663378765562077,5.595795336233192,0.045893594820257025,0.5957953362331923,0.045893594820257025,5.610005925391404,0.04172763520840916,0.6100059253914031,0.04172763520840915
feedback,1.0,1000,20,1.0656947846777514,0.09866519658695999,0.0743790683200527,0.013131143486149886,0.6356865830966326,0.09947064778931057,6.352054519806119,0.0902364662367206,1.352054519806119,0.0902364662367206,6.373605590533571,0.09334843852685608,1.3736055905335713,0.09334843852685608
iid,,2000,20,0.046975757961643175,0.0034563356152886703,0.0409128832423022,0.006226218004283385,0.03823199511793751,0.006995551364961276,5.020459318558179,0.0011196469463283,0.02045931855817886,0.0011196469463283002,5.021785104653619,0.011256305608956718,0.02178510465361838,0.011256305608956718
exo,,2000,20,0.1971548525735442,0.008294724273651747,0.0617562288799713,0.008759230873755635,0.029761980384091703,0.00526493291897209,5.037278381971402,0.0021282932726184216,0.037278381971402784,0.0021282932726184216,5.027921538647843,0.016911593581262676,0.02792153864784259,0.016911593581262676
feedback,0.25,2000,20,0.4865045549568821,0.033211034459456446,0.039294563638830084,0.007565927747969024,0.1225576798858247,0.019152280280883886,5.316004324757824,0.021783505230624618,0.3160043247578238,0.021783505230624618,5.327284066232826,0.026633633498233725,0.3272840662328262,0.026633633498233725
feedback,0.5,2000,20,0.7274328214880931,0.034455138013440675,0.04166652520934644,0.007544752578731333,0.12476955130709425,0.023470862154022325,5.595153373106449,0.04374306406916038,0.5951533731064481,0.04374306406916038,5.601058311158825,0.042357854935203054,0.6010583111588248,0.04235785493520305
feedback,1.0,2000,20,1.0264203676386177,0.06817307646645832,0.05784991474004801,0.00989331871190975,0.46585580448111974,0.08341891738275455,6.308823937283346,0.0855774073771395,1.3088239372833474,0.0855774073771395,6.314578946598205,0.08511864910029171,1.314578946598205,0.08511864910029171
